d=10   M=128    ε=0.05  ...  0.4 s
d=10   M=128    ε=0.10  ...  0.4 s
d=10   M=128    ε=1.00  ...  0.4 s
d=10   M=1024   ε=0.05  ...  3.9 s
d=10   M=1024   ε=0.10  ...  3.1 s
d=10   M=1024   ε=1.00  ...  3.2 s
d=10   M=8192   ε=0.05  ...  37.9 s
d=10   M=8192   ε=0.10  ...  30.0 s
d=10   M=8192   ε=1.00  ...  28.7 s
d=30   M=128    ε=0.05  ...  0.7 s
d=30   M=128    ε=0.10  ...  0.5 s
d=30   M=128    ε=1.00  ...  0.5 s
d=30   M=1024   ε=0.05  ...  6.2 s
d=30   M=1024   ε=0.10  ...  5.9 s
d=30   M=1024   ε=1.00  ...  5.9 s
d=30   M=8192   ε=0.05  ...  60.2 s
d=30   M=8192   ε=0.10  ...  59.4 s
d=30   M=8192   ε=1.00  ...  55.3 s
d=100  M=128    ε=0.05  ...  1.2 s
d=100  M=128    ε=0.10  ...  1.2 s
d=100  M=128    ε=1.00  ...  1.2 s
d=100  M=1024   ε=0.05  ...  13.2 s
d=100  M=1024   ε=0.10  ...  12.5 s
d=100  M=1024   ε=1.00  ...  12.4 s
d=100  M=8192   ε=0.05  ...  147.0 s
d=100  M=8192   ε=0.10  ...  172.9 s
d=100  M=8192   ε=1.00  ...  145.8 s

==============================================================================================================
GAUSSIAN SCHRÖDINGER BRIDGE EXPERIMENT RESULTS
Source: N(0,Iᵈ)   Target: N(e₁, AR1(ρ=0.9))   Burn-in: 1000   Meas: 1000   Thin: 10
==============================================================================================================
d    M      ε     fn              gt        mean       std       bias      bias²   variance      MSE       ESS
30   1024   1.00  x1y1      +0.50560    +0.41251   0.01055   -0.09308   0.008664   0.000111   0.008776     31.0
30   1024   1.00  EZ       +14.19412   +12.17895   0.02637   -2.01517   4.060921   0.000695   4.061617     10.9
30   1024   1.00  EZ2     +255.37605  +184.82095   0.73812  -70.55510  4978.021745   0.544821  4978.566566      9.3
30   1024   1.00  EZ3     +5700.19985  +3388.04788  21.66084  -2312.15197  5346046.721130  469.191862  5346515.912992     15.4
30   8192   0.05  x0y0      +0.74742    +0.51067   0.00232   -0.23675   0.056052   0.000005   0.056057      4.9
30   8192   0.05  x0y1      +0.41587    +0.37916   0.00102   -0.03672   0.001348   0.000001   0.001349      7.2
30   8192   0.05  x1y0      +0.41587    +0.37036   0.00097   -0.04551   0.002071   0.000001   0.002072      6.7
30   8192   0.05  x1y1      +0.66982    +0.46975   0.00115   -0.20007   0.040028   0.000001   0.040029      6.0
30   8192   0.05  EZ       +19.11224   +13.25690   0.04017   -5.85535  34.285073   0.001614  34.286687      5.4
30   8192   0.05  EZ2     +425.79998  +215.30079   0.99782  -210.49919  44309.907863   0.995644  44310.903508      5.6
30   8192   0.05  EZ3     +11071.46209  +4210.78158  22.17117  -6860.68051  47068937.038273  491.560664  47069428.598937      5.7
30   8192   0.10  x0y0      +0.73540    +0.50562   0.00189   -0.22977   0.052796   0.000004   0.052800      4.8
30   8192   0.10  x0y1      +0.41563    +0.37487   0.00170   -0.04076   0.001662   0.000003   0.001664      3.7
30   8192   0.10  x1y0      +0.41563    +0.37379   0.00146   -0.04185   0.001751   0.000002   0.001753     10.2
30   8192   0.10  x1y1      +0.65796    +0.46994   0.00213   -0.18802   0.035353   0.000005   0.035357      6.0
30   8192   0.10  EZ       +18.75642   +13.27963   0.04502   -5.47679  29.995235   0.002027  29.997262      4.4
30   8192   0.10  EZ2     +411.86551  +216.46275   1.24818  -195.40275  38182.236114   1.557951  38183.794065      4.5
30   8192   0.10  EZ3     +10593.80056  +4266.57163  32.71367  -6327.22893  40033825.917464  1070.184390  40034896.101854      4.6
30   8192   1.00  x0y0      +0.56731    +0.50646   0.00474   -0.06084   0.003702   0.000022   0.003724      8.0
30   8192   1.00  x0y1      +0.38979    +0.37319   0.00438   -0.01660   0.000275   0.000019   0.000295     10.5
30   8192   1.00  x1y0      +0.38979    +0.37276   0.00399   -0.01703   0.000290   0.000016   0.000306     30.6
30   8192   1.00  x1y1      +0.50560    +0.46796   0.00323   -0.03763   0.001416   0.000010   0.001427     44.5
30   8192   1.00  EZ       +14.19412   +13.25368   0.05461   -0.94045   0.884440   0.002982   0.887422      4.7
30   8192   1.00  EZ2     +255.37605  +218.39904   1.59536  -36.97701  1367.298968   2.545182  1369.844151      4.3
30   8192   1.00  EZ3     +5700.19985  +4358.18628  41.66629  -1342.01356  1801000.402997  1736.079862  1802736.482859      4.1
100  128    0.05  x0y0      +0.74742    +0.00165   0.00091   -0.74577   0.556173   0.000001   0.556174    589.2
100  128    0.05  x0y1      +0.41587    -0.00234   0.00127   -0.41821   0.174899   0.000002   0.174901    612.1
100  128    0.05  x1y0      +0.41587    +0.46849   0.00298   +0.05262   0.002769   0.000009   0.002778    563.2
100  128    0.05  x1y1      +0.66981    +0.35112   0.00341   -0.31869   0.101566   0.000012   0.101578    561.7
100  128    0.05  EZ       +62.55155   +20.30921   0.00018  -42.24234  1784.415223   0.000000  1784.415224    580.0
100  128    0.05  EZ2     +4112.13251  +458.43666   0.17633  -3653.69585  13349493.389902   0.031094  13349493.420996    569.6
100  128    0.05  EZ3     +284342.16742  +11382.62168   8.22938  -272959.54574  74506913610.457016  67.722706  74506913678.179718    574.8
100  128    0.10  x0y0      +0.73539    +0.08254   0.00386   -0.65285   0.426219   0.000015   0.426234    647.5
100  128    0.10  x0y1      +0.41562    +0.01897   0.00150   -0.39665   0.157331   0.000002   0.157333    623.1
100  128    0.10  x1y0      +0.41562    +0.32605   0.00676   -0.08957   0.008023   0.000046   0.008069    636.7
100  128    0.10  x1y1      +0.65796    +0.26067   0.00273   -0.39729   0.157839   0.000007   0.157846    533.2
100  128    0.10  EZ       +61.36638   +20.41543   0.00021  -40.95095  1676.980642   0.000000  1676.980643    640.4
100  128    0.10  EZ2     +3963.76484  +462.32661   0.23725  -3501.43823  12260069.659746   0.056288  12260069.716034    644.9
100  128    0.10  EZ3     +269691.71777  +11418.56352  14.45588  -258273.15425  66705022206.080772  208.972576  66705022415.053345    635.1
100  128    1.00  x0y0      +0.56730    +0.12448   0.02988   -0.44282   0.196086   0.000893   0.196978     12.4
100  128    1.00  x0y1      +0.38978    +0.06825   0.02879   -0.32153   0.103381   0.000829   0.104209      8.6
100  128    1.00  x1y0      +0.38978    +0.34620   0.01581   -0.04358   0.001900   0.000250   0.002149     10.7
100  128    1.00  x1y1      +0.50559    +0.24768   0.01316   -0.25791   0.066515   0.000173   0.066688     13.0
100  128    1.00  EZ       +46.25031   +20.77934   0.09664  -25.47096  648.769977   0.009339  648.779317      7.6
100  128    1.00  EZ2     +2316.96572  +476.56299   3.21120  -1840.40272  3387082.181101  10.311812  3387092.492913     10.2
100  128    1.00  EZ3     +125537.79137  +11972.92730  104.81541  -113564.86407  12896978351.546398  10986.270753  12896989337.817152     19.5
100  1024   0.05  x0y0      +0.74742    +0.28812   0.00156   -0.45929   0.210952   0.000002   0.210954      8.2
100  1024   0.05  x0y1      +0.41587    +0.25072   0.00142   -0.16514   0.027273   0.000002   0.027275      5.9
100  1024   0.05  x1y0      +0.41587    +0.20500   0.00188   -0.21087   0.044465   0.000004   0.044468    122.1
100  1024   0.05  x1y1      +0.66981    +0.27996   0.00139   -0.38986   0.151990   0.000002   0.151992    122.7
100  1024   0.05  EZ       +62.55155   +24.98868   0.00965  -37.56287  1410.968883   0.000093  1410.968976      4.1
100  1024   0.05  EZ2     +4112.13251  +693.25121   0.54094  -3418.88130  11688749.331505   0.292613  11688749.624118      4.6
100  1024   0.05  EZ3     +284342.16742  +21163.81811  25.96667  -263178.34931  69262843544.136108  674.268189  69262844218.404297      5.8
100  1024   0.10  x0y0      +0.73539    +0.30068   0.00165   -0.43471   0.188974   0.000003   0.188977      4.2
100  1024   0.10  x0y1      +0.41562    +0.24607   0.00155   -0.16955   0.028747   0.000002   0.028750      4.9
100  1024   0.10  x1y0      +0.41562    +0.23827   0.00071   -0.17736   0.031455   0.000001   0.031455    100.7
100  1024   0.10  x1y1      +0.65796    +0.30506   0.00109   -0.35290   0.124536   0.000001   0.124538     57.9
100  1024   0.10  EZ       +61.36638   +24.97755   0.00768  -36.38883  1324.147303   0.000059  1324.147362      3.5
100  1024   0.10  EZ2     +3963.76484  +692.77397   0.36022  -3270.99088  10699381.306476   0.129761  10699381.436237      3.6
